filename,album,year,track_number,title,language,char_count,lemma_count,unique_lemmas,lexical_diversity_ttr,h1_territory_concrete_per100,h1_territory_metaphorical_per100,h1_concrete_metaphorical_ratio,h2_displacement_per100,h2_displacement_unique_hits,h3_passive_ratio,h3_fp_agent_ratio,h3_fp_patient_ratio,h3_resistance_per100,h3_victimhood_per100,h3_fp_total,h4_total_gendered_per100,h4_fem_pron_per100,h4_masc_pron_per100,h4_fem_relational_per100,h4_masc_relational_per100,h4_fem_social_conv_per100,h4_masc_social_conv_per100,h4_fem_masc_ratio,h4_fem_agent_ratio,h4_fem_patient_ratio,h4_masc_agent_ratio,h4_masc_patient_ratio,h4_contextual_unresolved,h4_contextual_resolved_fem,h4_contextual_resolved_masc,h4_n_fem_total,h4_n_masc_total,h4_n_neutral_total,h4_total_mentions
03_king_of_everything_2016/08_dip_a_sail.txt,King of Everything,2016,8,Dip A Sail,en,825,80.0,54.0,0.675,0.0,0.0,,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_king_of_everything_2016/09_pisces.txt,King of Everything,2016,9,Pisces,en,1262,123.0,81.0,0.6585365853658537,0.0,1.6260162601626016,0.0,0.0,0.0,0.3462,0.6429,0.2143,0.0,0.4587,14.0,1.8349,0.0,0.4587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,2.0,1.0,4.0
03_king_of_everything_2016/10_beggars_dance.txt,King of Everything,2016,10,Beggars Dance,en,594,39.0,23.0,0.5897435897435898,0.0,2.5641025641025643,0.0,0.0,0.0,0.3636,0.5,0.1667,0.0,0.0,6.0,13.7255,0.0,0.9804,0.0,0.0,0.0,12.7451,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0
04_micro_2019/01_ape.txt,Micro EP,2019,1,Ape,en,1342,110.0,75.0,0.6818181818181818,3.6363636363636362,0.0,,0.0,0.0,0.0,0.8333,0.0,0.4049,0.0,6.0,1.2146,0.0,1.2146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,3.0,0.0,3.0
04_micro_2019/02_dreadful_moments.txt,Micro EP,2019,2,Dreadful Moments,en,1167,106.0,72.0,0.6792452830188679,0.9433962264150944,0.0,,0.0,0.0,0.5556,0.5,0.2,2.2523,1.8018,10.0,1.8018,0.0,0.4505,0.9009,0.4505,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0
04_micro_2019/03_teacher_teacher.txt,Micro EP,2019,3,Teacher Teacher,en,2269,190.0,131.0,0.6894736842105263,2.6315789473684212,0.0,,0.0,0.0,0.0597,0.5918,0.1429,0.8889,0.0,49.0,4.6667,2.0,0.0,0.0,0.0,0.0,0.2222,0.9375,0.6667,0.0667,0.0,0.0,4.0,5.0,0.0,15.0,1.0,1.0,21.0
04_micro_2019/04_perennial.txt,Micro EP,2019,4,Perennial,en,1228,96.0,86.0,0.8958333333333334,0.0,0.0,,0.0,0.0,0.0,0.55,0.15,1.6598,1.6598,20.0,2.4896,2.4896,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.1667,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
05_macro_2019/01_on_the_top.txt,Macro,2019,1,On The Top,en,1438,105.0,73.0,0.6952380952380952,0.0,0.0,,0.0,0.0,0.0312,0.0,1.0,0.3559,1.4235,4.0,0.7117,0.0,0.7117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
05_macro_2019/02_pit_of_consciousness.txt,Macro,2019,2,Pit Of Consciousness,en,1013,87.0,68.0,0.7816091954022989,0.0,1.1494252873563218,0.0,1.1494252873563218,1.0,0.25,0.4783,0.087,0.0,1.0638,23.0,0.5319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
05_macro_2019/03_judgement_punishment.txt,Macro,2019,3,Judgement Punishment,en,1253,105.0,65.0,0.6190476190476191,1.9047619047619047,0.9523809523809523,2.0,0.0,0.0,0.225,0.875,0.125,0.0,0.0,8.0,1.81,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
05_macro_2019/04_retrospection.txt,Macro,2019,4,Retrospection,en,1017,93.0,62.0,0.6666666666666666,1.075268817204301,0.0,,0.0,0.0,0.2609,0.4118,0.1176,0.0,1.5873,17.0,2.1164,0.0,0.0,1.0582,1.0582,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,2.0,2.0,0.0,4.0
05_macro_2019/05_pausing_death.txt,Macro,2019,5,Pausing Death,en,1400,106.0,73.0,0.6886792452830188,0.9433962264150944,0.0,,0.9433962264150944,1.0,0.1935,0.75,0.0,0.3876,3.1008,8.0,4.2636,2.7132,0.0,0.0,0.0,0.0,0.3876,0.7273,0.375,0.375,0.0,0.6667,0.0,1.0,0.0,8.0,3.0,0.0,11.0
05_macro_2019/06_noah.txt,Macro,2019,6,Noah,en,1177,105.0,80.0,0.7619047619047619,0.9523809523809523,1.9047619047619047,0.5,0.0,0.0,0.303,1.0,0.0,0.4292,0.4292,1.0,0.4292,0.0,0.0,0.0,0.0,0.0,0.4292,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
05_macro_2019/07_home_back.txt,Macro,2019,7,Home Back,en,1367,116.0,74.0,0.6379310344827587,12.068965517241379,0.8620689655172413,14.0,3.4482758620689653,1.0,0.1053,0.3158,0.2105,0.3861,0.0,19.0,1.1583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
05_macro_2019/08_the_prophecy.txt,Macro,2019,8,The Prophecy,en,965,77.0,56.0,0.7272727272727273,2.5974025974025974,0.0,,0.0,0.0,0.2609,0.3077,0.3077,2.439,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_macro_2019/09_lainnerep.txt,Macro,2019,9,Lainnerep,en,263,22.0,11.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,3.8462,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_wallflowers_2021/01_call_me_a_symbol.txt,Wallflowers,2021,1,Call Me A Symbol,en,1283,98.0,54.0,0.5510204081632653,0.0,0.0,,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3846,30.0,1.1538,0.0,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,3.0,0.0,3.0
06_wallflowers_2021/02_colossus.txt,Wallflowers,2021,2,Colossus,en,1030,91.0,67.0,0.7362637362637363,0.0,0.0,,1.098901098901099,1.0,0.08,0.5,0.125,1.0309,2.0619,16.0,0.5155,0.0,0.5155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
06_wallflowers_2021/03_vortex.txt,Wallflowers,2021,3,Vortex,en,1168,112.0,63.0,0.5625,0.8928571428571429,1.7857142857142858,0.5,0.0,0.0,0.1905,0.8889,0.0,0.4545,0.4545,9.0,4.5455,0.0,2.7273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,10.0,0.0,10.0
06_wallflowers_2021/04_disclosure.txt,Wallflowers,2021,4,Disclosure,en,1492,118.0,74.0,0.6271186440677966,0.847457627118644,0.0,,0.0,0.0,0.0,0.4412,0.5294,0.6536,0.0,34.0,2.9412,0.0,0.3268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,5.0,0.0,0.0,0.0,4.0,0.0,9.0
06_wallflowers_2021/05_copycat.txt,Wallflowers,2021,5,Copycat,en,1429,105.0,70.0,0.6666666666666666,0.0,0.0,,0.9523809523809523,1.0,0.1111,0.5556,0.0741,0.0,0.0,27.0,0.3546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
06_wallflowers_2021/06_pearls_and_swine.txt,Wallflowers,2021,6,Pearls And Swine,en,1380,124.0,95.0,0.7661290322580645,1.6129032258064515,0.8064516129032258,2.0,0.8064516129032258,1.0,0.16,0.0,0.0,0.7692,0.3846,0.0,1.9231,0.0,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,5.0
06_wallflowers_2021/07_sleep_of_the_righteous.txt,Wallflowers,2021,7,Sleep Of The Righteous,en,1153,100.0,83.0,0.83,0.0,3.0,0.0,0.0,0.0,0.0541,0.6571,0.1143,0.4184,0.0,35.0,0.8368,0.0,0.4184,0.0,0.0,0.0,0.4184,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,0.0,2.0
06_wallflowers_2021/08_wallflower.txt,Wallflowers,2021,8,Wallflower,en,1220,98.0,64.0,0.6530612244897959,6.122448979591836,0.0,,0.0,0.0,0.0,0.48,0.08,0.0,1.2048,25.0,0.4016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
06_wallflowers_2021/09_dead_hands_feel_no_pain.txt,Wallflowers,2021,9,Dead Hands Feel No Pain,en,1189,110.0,76.0,0.6909090909090909,0.0,1.8181818181818181,0.0,0.0,0.0,0.0,0.4286,0.0714,0.0,2.0921,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_wallflowers_2021/10_as_i_boil_ice.txt,Wallflowers,2021,10,As I Boil Ice,en,1177,81.0,61.0,0.7530864197530864,1.2345679012345678,1.2345679012345678,1.0,0.0,0.0,0.0571,0.7,0.15,0.0,0.4237,20.0,2.5424,0.0,0.0,0.0,0.0,0.0,0.4237,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
